Date,SP.rk
20030506,8.80E-05
20030507,0.000107637
20030508,0.000113339
20030509,6.86E-05
20030512,5.66E-05
20030513,7.18E-05
20030514,8.00E-05
20030515,9.57E-05
20030516,6.40E-05
20030519,9.53E-05
20030520,0.000111948
20030521,9.51E-05
20030522,7.56E-05
20030523,4.40E-05
20030526,
20030527,8.32E-05
20030528,6.84E-05
20030529,9.95E-05
20030530,9.30E-05
20030602,0.000116962
20030603,7.56E-05
20030604,6.74E-05
20030605,0.000112322
20030606,0.000194393
20030609,6.49E-05
20030610,7.27E-05
20030611,6.01E-05
20030612,9.32E-05
20030613,8.41E-05
20030616,7.19E-05
20030617,7.64E-05
20030618,7.57E-05
20030619,7.86E-05
20030620,8.36E-05
20030623,6.10E-05
20030624,5.81E-05
20030625,0.000103951
20030626,5.79E-05
20030627,7.99E-05
20030630,9.80E-05
20030701,0.000115465
20030702,6.12E-05
20030703,0.000115537
20030704,
20030707,0.000113548
20030708,5.52E-05
20030709,8.34E-05
20030710,9.50E-05
20030711,7.23E-05
20030714,0.000133781
20030715,0.000123057
20030716,7.36E-05
20030717,9.19E-05
20030718,8.03E-05
20030721,5.97E-05
20030722,0.000118943
20030723,5.60E-05
20030724,0.000103327
20030725,9.65E-05
20030728,9.04E-05
20030729,0.000135166
20030730,6.09E-05
20030731,0.000212835
20030801,8.96E-05
20030804,0.000121111
20030805,0.000115433
20030806,9.36E-05
20030807,6.05E-05
20030808,5.94E-05
20030811,6.56E-05
20030812,5.31E-05
20030813,4.46E-05
20030814,6.37E-05
20030815,1.65E-05
20030818,3.37E-05
20030819,4.93E-05
20030820,5.26E-05
20030821,8.36E-05
20030822,9.49E-05
20030825,3.05E-05
20030826,8.98E-05
20030827,1.94E-05
20030828,4.93E-05
20030829,3.91E-05
20030901,
20030902,7.56E-05
20030903,5.68E-05
20030904,3.41E-05
20030905,5.91E-05
20030908,3.96E-05
20030909,4.73E-05
20030910,4.81E-05
20030911,5.31E-05
20030912,6.58E-05
20030915,3.01E-05
20030916,3.59E-05
20030917,3.00E-05
20030918,3.34E-05
20030919,2.89E-05
20030922,0.000109599
20030923,4.40E-05
20030924,6.45E-05
20030925,7.71E-05
20030926,9.20E-05
20030929,6.75E-05
20030930,0.000134565
20031001,6.97E-05
20031002,5.46E-05
20031003,0.000207687
20031006,2.71E-05
20031007,7.37E-05
20031008,4.25E-05
20031009,9.31E-05
20031010,2.64E-05
20031013,4.63E-05
20031014,3.26E-05
20031015,
20031016,2.53E-05
20031017,4.36E-05
20031020,3.27E-05
20031021,3.44E-05
20031022,9.28E-05
20031023,6.38E-05
20031024,8.54E-05
20031027,5.09E-05
20031028,4.74E-05
20031029,4.38E-05
20031030,6.47E-05
20031031,3.63E-05
20031103,4.48E-05
20031104,3.39E-05
20031105,5.08E-05
